iter	Logloss
0	0.6639386986
1	0.6388251565
2	0.6132719241
3	0.591678385
4	0.5713598201
5	0.5521114139
6	0.5338416119
7	0.5173151895
8	0.502655951
9	0.4886837149
10	0.4762181718
11	0.4644442363
12	0.4545355264
13	0.4448381119
14	0.4372073713
15	0.4303557264
16	0.4226500285
17	0.4152637953
18	0.4084678756
19	0.4021899864
20	0.3965373902
21	0.3912341416
22	0.3861201799
23	0.3821608701
24	0.3776561825
25	0.3735524332
26	0.3697142941
27	0.3659678699
28	0.3625398426
29	0.3590699736
30	0.3561102903
31	0.3539821872
32	0.3508341772
33	0.34812189
34	0.3455352865
35	0.3433774975
36	0.3411286228
37	0.3392781922
38	0.3375166488
39	0.3352096398
40	0.3338798919
41	0.3320181504
42	0.3307689263
43	0.3290102034
44	0.3279827042
45	0.3268007825
46	0.3257058056
47	0.3243955978
48	0.3231559388
49	0.3220997661
50	0.3211130491
51	0.319578892
52	0.3184335293
53	0.3173569559
54	0.3161112876
55	0.3153322929
56	0.3144103283
57	0.3132538445
58	0.3127208982
59	0.3119534753
60	0.3111083735
61	0.3103994048
62	0.3098412433
63	0.30915232
64	0.3084237452
65	0.307750655
66	0.3071833625
67	0.3064495406
68	0.3055552112
69	0.3046419814
70	0.3037850986
71	0.303277323
72	0.3023474195
73	0.3017863792
74	0.3012776703
75	0.3007548019
76	0.3001498269
77	0.2994080312
78	0.2987378141
79	0.2982724768
80	0.2978630204
81	0.2973716375
82	0.2965599222
83	0.2961179088
84	0.2956622365
85	0.2950775063
86	0.2946022727
87	0.294239614
88	0.2938082697
89	0.2931077787
90	0.2926025298
91	0.2920821901
92	0.2915518944
93	0.2909318516
94	0.2903803234
95	0.2900540848
96	0.2895847397
97	0.2888940599
98	0.2885536459
99	0.2881633701
100	0.2876912417
101	0.2874449808
102	0.2869047807
103	0.2865766898
104	0.2861187735
105	0.2855144611
106	0.2849224485
107	0.2846164324
108	0.2843752529
109	0.283937233
110	0.2835679558
111	0.2830727608
112	0.2827473235
113	0.2824598013
114	0.2819745428
115	0.2815319504
116	0.281292398
117	0.2810350788
118	0.2806796505
119	0.2803628639
120	0.2799762557
121	0.2795954645
122	0.2792158258
123	0.2787780377
124	0.2785253993
125	0.2781104593
126	0.2777548707
127	0.2773996563
128	0.2771626196
129	0.2765292021
130	0.2762514188
131	0.2759565432
132	0.2755809052
133	0.2752834225
134	0.274956801
135	0.2747123638
136	0.2743173912
137	0.2738938403
138	0.2735782717
139	0.2733179241
140	0.2729960287
141	0.2726463351
142	0.2717729535
143	0.2715081193
144	0.2713078
145	0.2710944677
146	0.2707108358
147	0.2704959506
148	0.2702588829
149	0.2699183215
150	0.2696026677
151	0.2694066342
152	0.269167409
153	0.2686753424
154	0.2684100265
155	0.2680987445
156	0.2677796047
157	0.2675050617
158	0.2673670442
159	0.2671854449
160	0.2669170188
161	0.266505993
162	0.2661502553
163	0.2658402253
164	0.2655245106
165	0.2652643586
166	0.2650444863
167	0.2648424436
168	0.2644716553
169	0.264129324
170	0.2638566253
171	0.2636024425
172	0.263192358
173	0.2629146918
174	0.262743224
175	0.2624737832
176	0.2622382281
177	0.2617885497
178	0.2615416229
179	0.2613670342
180	0.2609794651
181	0.2606502496
182	0.2602993834
183	0.2600736891
184	0.2597483225
185	0.259597511
186	0.2592667771
187	0.2590138718
188	0.2587203688
189	0.2585065286
190	0.258188324
191	0.2576799564
192	0.2573821341
193	0.2572486575
194	0.2569576459
195	0.2568081512
196	0.2563620934
197	0.2561259295
198	0.2559336085
199	0.2557720237
200	0.2555145647
201	0.2551920235
202	0.254751343
203	0.2543243543
204	0.2540653008
205	0.2538790785
206	0.2535374642
207	0.2532310618
208	0.253087378
209	0.2528616184
210	0.2526281849
211	0.2524364537
212	0.2522468568
213	0.252101455
214	0.2520060096
215	0.2517719565
216	0.2516365514
217	0.2514959308
218	0.251192113
219	0.2508433823
220	0.2506112546
221	0.2504541752
222	0.2503157943
223	0.2502114444
224	0.2500130974
225	0.2497695482
226	0.2496505752
227	0.2494920241
228	0.2493324261
229	0.2492244919
230	0.248865975
231	0.2486204207
232	0.2484541607
233	0.2481394963
234	0.2479845345
235	0.2478121109
236	0.2475939173
237	0.2473946738
238	0.2472147459
239	0.2470226524
240	0.246834577
241	0.24666062
242	0.2465618089
243	0.2463701928
244	0.2460909597
245	0.2458315147
246	0.2456357607
247	0.2454594774
248	0.2453235461
249	0.2450830122
250	0.2449053891
251	0.2446584995
252	0.2444307103
253	0.2442143794
254	0.2437865959
255	0.2435217109
256	0.243302532
257	0.2430295399
258	0.2429144015
259	0.2427563283
260	0.2425479336
261	0.2424421225
262	0.242217299
263	0.2420493347
264	0.2419101933
265	0.2416662863
266	0.2414151112
267	0.2412314207
268	0.2409348753
269	0.2406545031
270	0.2404701078
271	0.2403205945
272	0.2402060735
273	0.2400216943
274	0.2398132856
275	0.2395350048
276	0.2393112185
277	0.2391019937
278	0.2388954276
279	0.2386682301
280	0.2384874319
281	0.2383506978
282	0.2380737713
283	0.2378801202
284	0.2376647775
285	0.2374122397
286	0.2371986034
287	0.2369756555
288	0.2368445782
289	0.2366762549
290	0.2365171428
291	0.2363454922
292	0.2361743094
293	0.2361000704
294	0.235808511
295	0.2357026029
296	0.2354706345
297	0.2352633659
298	0.2351518735
299	0.2348892144
300	0.2346616423
301	0.2344230727
302	0.2342333119
303	0.2341065646
304	0.2339921904
305	0.233837949
306	0.2334714445
307	0.2333645083
308	0.2331566316
309	0.2329903852
310	0.2327349095
311	0.2326094622
312	0.2322670508
313	0.2320541221
314	0.2319472589
315	0.2317628454
316	0.2316066113
317	0.2313832401
318	0.2311740659
319	0.2310672927
320	0.2307643081
321	0.2306529928
322	0.2304746873
323	0.2302892418
324	0.230190557
325	0.2300821868
326	0.2298802194
327	0.2296364571
328	0.2294923869
329	0.2292163254
330	0.2290812814
331	0.2288600676
332	0.2284968601
333	0.228335233
334	0.228034467
335	0.2277813225
336	0.2276117518
337	0.2274767343
338	0.2271923238
339	0.226912249
340	0.2264697866
341	0.2261434115
342	0.2259299866
343	0.2257074853
344	0.2253464067
345	0.2250450773
346	0.2247983945
347	0.2246099763
348	0.2244861219
349	0.2242696348
350	0.2241069732
351	0.2238459374
352	0.2237059825
353	0.2235767123
354	0.2233863931
355	0.2232675659
356	0.2231673568
357	0.2230563112
358	0.2228527498
359	0.2226337428
360	0.2224730739
361	0.2223075707
362	0.2222196588
363	0.2219999046
364	0.2217159166
365	0.221365804
366	0.2212123097
367	0.2210549511
368	0.2209023969
369	0.2207364758
370	0.2205793513
371	0.2203371098
372	0.2202129159
373	0.2199191399
374	0.2196887586
375	0.2194667714
376	0.2193282401
377	0.219129292
378	0.2189864225
379	0.2188048328
380	0.2186781438
381	0.2185738875
382	0.2183754298
383	0.2181728527
384	0.217927003
385	0.2178149088
386	0.2176535216
387	0.2175133664
388	0.2173815869
389	0.2170855125
390	0.2169584248
391	0.2168452042
392	0.2166170963
393	0.2163341482
394	0.2162302111
395	0.2161059038
396	0.2159364241
397	0.2157869701
398	0.2156582998
399	0.2155355108
400	0.2153721099
401	0.2151912654
402	0.2150156828
403	0.214801953
404	0.2146535746
405	0.2144348395
406	0.2142302117
407	0.214070727
408	0.2139397038
409	0.2137485363
410	0.2136255234
411	0.2133782185
412	0.2132040197
413	0.2130400897
414	0.2129243749
415	0.2127610751
416	0.2126488014
417	0.2125255909
418	0.2123944069
419	0.2123029303
420	0.2121020536
421	0.2118276073
422	0.2116919559
423	0.2115644194
424	0.2110787048
425	0.2108596864
426	0.2106617695
427	0.2103953064
428	0.2102262948
429	0.210020308
430	0.209906702
431	0.2097818096
432	0.2096435032
433	0.2095746034
434	0.2094924989
435	0.2093685737
436	0.2092849942
437	0.2091460461
438	0.2089785763
439	0.2087765483
440	0.2086427224
441	0.2084316553
442	0.2082363147
443	0.208122972
444	0.2079797517
445	0.2078517609
446	0.2077301731
447	0.2075986968
448	0.2074569626
449	0.2073242272
450	0.2072292557
451	0.2071098105
452	0.2069955791
453	0.2068968065
454	0.206763224
455	0.2066408916
456	0.2065388351
457	0.2064564338
458	0.206329851
459	0.2061274114
460	0.2060113958
461	0.2058991685
462	0.205614681
463	0.2053660044
464	0.2052541037
465	0.2051507535
